device;loading_datetime;GPU_temp_celsius;CPU_temp_celsius;frequency_arm_hz;frequency_core_hz;frequency_pwm_hz;voltage_core_v;voltage_sdram_c_v;voltage_sdram_i_v;voltage_sdram_p_v;memory_arm_bytes;memory_gpu_bytes;throttled
raspberry-pi-4b;2022-10-06@18:08:55;837;8375;1629439488;333333984;107143064;9084;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:02;827;82289;1775460992;333333984;107143064;8976;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:10;827;82776;1726417920;333333984;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:23;837;83263;1629386752;333333984;107143064;9084;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:30;827;84237;1677427712;333333984;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:33;827;82776;1726417920;333333984;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:37;832;82289;1726417920;333333984;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:39;837;83263;1629439488;333333984;107143064;9189;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:42;832;83263;1677374976;333333984;107143064;9189;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:44;823;8375;1726417920;333320800;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:46;832;83263;1677427712;333333984;107129880;9189;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:49;827;82776;1629386752;333333984;107143064;9084;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:50;832;84724;1677427712;333333984;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:53;837;83263;1629386752;333333984;107143064;9084;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:09:59;832;83263;1580396544;333333984;107143064;8976;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:10:02;827;83263;1629386752;333333984;107143064;9297;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:10:27;837;8375;1629386752;333333984;107143064;9084;11;11;11;994050048;79691776;0xf0008
raspberry-pi-4b;2022-10-06@18:10:29;818;81802;1775460992;333333984;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:33;813;80341;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:35;798;80828;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:37;793;79367;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:42;784;78393;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:46;779;77419;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:48;769;76932;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:52;745;75471;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:56;745;74984;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:10:58;754;7401;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:01;725;72549;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:05;725;72549;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:07;715;72062;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:11;711;70601;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:15;711;71088;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:17;701;70114;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:20;701;69627;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:23;696;69627;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:25;701;69627;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:28;686;68653;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:30;691;6914;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:32;686;67679;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:34;676;67192;1800404352;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:36;667;66705;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:38;672;66705;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:39;676;67679;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:42;667;66705;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:44;662;67679;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:46;667;67679;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:48;657;66218;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:11:56;662;65731;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:03;652;65244;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:05;637;63783;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:08;652;6427;1800457088;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:11;647;64757;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:15;647;63783;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:18;633;63783;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:20;628;62809;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:24;633;63296;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:26;628;61835;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:29;628;62809;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:32;633;63296;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:34;628;61348;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:37;623;62322;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:40;623;61348;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:42;623;62809;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:46;623;62322;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:47;613;62809;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:53;618;61835;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:12:55;618;61835;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:01;608;59887;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:03;613;61348;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:08;599;59887;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:12;608;60374;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:19;599;59887;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:23;603;59887;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:31;608;60374;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:35;608;59887;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:38;599;58913;1800457088;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:13:43;603;594;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:16:33;496;4966;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:16:53;491;4966;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:00;491;49173;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:07;496;4966;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:11;496;4966;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:13;491;49173;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:16;487;49173;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:19;491;49173;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:26;482;48199;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:29;482;48199;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:32;491;49173;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:36;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:39;477;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:42;487;48686;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:44;491;49173;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:46;487;48686;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:48;482;48686;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:17:57;482;48686;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:01;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:07;487;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:19;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:22;487;48686;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:25;477;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:27;491;49173;1800404352;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:29;496;4966;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:35;477;48686;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:38;477;47712;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:40;487;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:42;472;46738;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:46;477;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:56;472;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:18:59;477;47225;1800404352;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:07;477;47225;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:09;482;48686;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:12;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:15;462;48199;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:22;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
